code,typestandard,type
73,"Cargo, hazardous category C",Cargo
74,"Cargo, hazardous category D",Cargo
75,"Cargo, reserved for future use",Cargo
76,"Cargo, reserved for future use",Cargo
77,"Cargo, reserved for future use",Cargo
78,"Cargo, reserved for future use",Cargo
79,"Cargo, no additional information",Cargo
80,"Tanker, all ships of this type",Tanker
81,"Tanker, hazardous category A",Tanker
82,"Tanker, hazardous category B",Tanker
83,"Tanker, hazardous category C",Tanker
84,"Tanker, hazardous category D",Tanker
85,"Tanker, reserved for future use",Tanker
86,"Tanker, reserved for future use",Tanker
87,"Tanker, reserved for future use",Tanker
88,"Tanker, reserved for future use",Tanker
89,"Tanker, no additional information",Tanker
90,"Other Type, all ships of this type",Other
91,"Other Type, hazardous category A",Other
92,"Other Type, hazardous category B",Other
93,"Other Type, hazardous category C",Other
94,"Other Type, hazardous category D",Other
95,"Other Type, reserved for future use",Other
96,"Other Type, reserved for future use",Other
97,"Other Type, reserved for future use",Other
98,"Other Type, reserved for future use",Other
99,"Other Type, no additional information",Other
100,Reserved for regional use,Other
101,Reserved for regional use,Other
102,Reserved for regional use,Other
103,Reserved for regional use,Other
104,Reserved for regional use,Other
105,Reserved for regional use,Other
106,Reserved for regional use,Other
107,Reserved for regional use,Other
108,Reserved for regional use,Other
109,Reserved for regional use,Other
110,Reserved for regional use,Other
111,Reserved for regional use,Other
112,Reserved for regional use,Other
113,Reserved for regional use,Other
114,Reserved for regional use,Other
115,Reserved for regional use,Other
116,Reserved for regional use,Other
117,Reserved for regional use,Other
118,Reserved for regional use,Other
119,Reserved for regional use,Other
120,Reserved for regional use,Other
121,Reserved for regional use,Other
122,Reserved for regional use,Other
123,Reserved for regional use,Other
124,Reserved for regional use,Other
125,Reserved for regional use,Other
126,Reserved for regional use,Other
127,Reserved for regional use,Other
128,Reserved for regional use,Other
129,Reserved for regional use,Other
130,Reserved for regional use,Other
131,Reserved for regional use,Other
132,Reserved for regional use,Other
133,Reserved for regional use,Other
134,Reserved for regional use,Other
135,Reserved for regional use,Other
136,Reserved for regional use,Other
137,Reserved for regional use,Other
138,Reserved for regional use,Other
139,Reserved for regional use,Other
140,Reserved for regional use,Other
141,Reserved for regional use,Other
142,Reserved for regional use,Other
143,Reserved for regional use,Other
144,Reserved for regional use,Other
145,Reserved for regional use,Other
146,Reserved for regional use,Other
147,Reserved for regional use,Other
148,Reserved for regional use,Other
149,Reserved for regional use,Other
150,Reserved for regional use,Other
151,Reserved for regional use,Other
152,Reserved for regional use,Other
153,Reserved for regional use,Other
154,Reserved for regional use,Other
155,Reserved for regional use,Other
156,Reserved for regional use,Other
157,Reserved for regional use,Other
158,Reserved for regional use,Other
159,Reserved for regional use,Other
160,Reserved for regional use,Other
161,Reserved for regional use,Other
162,Reserved for regional use,Other
163,Reserved for regional use,Other
164,Reserved for regional use,Other
165,Reserved for regional use,Other
166,Reserved for regional use,Other
167,Reserved for regional use,Other
168,Reserved for regional use,Other
169,Reserved for regional use,Other
170,Reserved for regional use,Other
171,Reserved for regional use,Other
172,Reserved for regional use,Other
173,Reserved for regional use,Other
174,Reserved for regional use,Other
175,Reserved for regional use,Other
176,Reserved for regional use,Other
177,Reserved for regional use,Other
178,Reserved for regional use,Other
179,Reserved for regional use,Other
180,Reserved for regional use,Other
181,Reserved for regional use,Other
182,Reserved for regional use,Other
183,Reserved for regional use,Other
184,Reserved for regional use,Other
185,Reserved for regional use,Other
186,Reserved for regional use,Other
187,Reserved for regional use,Other
188,Reserved for regional use,Other
189,Reserved for regional use,Other
190,Reserved for regional use,Other
191,Reserved for regional use,Other
192,Reserved for regional use,Other
193,Reserved for regional use,Other
194,Reserved for regional use,Other
195,Reserved for regional use,Other
196,Reserved for regional use,Other
197,Reserved for regional use,Other
198,Reserved for regional use,Other
199,Reserved for regional use,Other
200,Reserved for future use,Other
201,Reserved for future use,Other
202,Reserved for future use,Other
203,Reserved for future use,Other
204,Reserved for future use,Other
205,Reserved for future use,Other
206,Reserved for future use,Other
207,Reserved for future use,Other
208,Reserved for future use,Other
209,Reserved for future use,Other
210,Reserved for future use,Other
211,Reserved for future use,Other
212,Reserved for future use,Other
213,Reserved for future use,Other
214,Reserved for future use,Other
215,Reserved for future use,Other
216,Reserved for future use,Other
217,Reserved for future use,Other
218,Reserved for future use,Other
219,Reserved for future use,Other
220,Reserved for future use,Other
221,Reserved for future use,Other
222,Reserved for future use,Other
223,Reserved for future use,Other
224,Reserved for future use,Other
225,Reserved for future use,Other
226,Reserved for future use,Other
227,Reserved for future use,Other
228,Reserved for future use,Other
229,Reserved for future use,Other
230,Reserved for future use,Other
231,Reserved for future use,Other
232,Reserved for future use,Other
233,Reserved for future use,Other
234,Reserved for future use,Other
235,Reserved for future use,Other
236,Reserved for future use,Other
237,Reserved for future use,Other
238,Reserved for future use,Other
239,Reserved for future use,Other
240,Reserved for future use,Other
241,Reserved for future use,Other
242,Reserved for future use,Other
243,Reserved for future use,Other
244,Reserved for future use,Other
245,Reserved for future use,Other
246,Reserved for future use,Other
247,Reserved for future use,Other
248,Reserved for future use,Other
249,Reserved for future use,Other
250,Reserved for future use,Other
251,Reserved for future use,Other
252,Reserved for future use,Other
253,Reserved for future use,Other
254,Reserved for future use,Other
255,Reserved for future use,Other
256,No designation,Other
257,No designation,Other
258,No designation,Other
259,No designation,Other
260,No designation,Other
261,No designation,Other
262,No designation,Other
263,No designation,Other
264,No designation,Other
265,No designation,Other
266,No designation,Other
267,No designation,Other
268,No designation,Other
269,No designation,Other
270,No designation,Other
271,No designation,Other
272,No designation,Other
273,No designation,Other
274,No designation,Other
275,No designation,Other
276,No designation,Other
277,No designation,Other
278,No designation,Other
279,No designation,Other
280,No designation,Other
281,No designation,Other
282,No designation,Other
283,No designation,Other
284,No designation,Other
285,No designation,Other
286,No designation,Other
287,No designation,Other
288,No designation,Other
289,No designation,Other
290,No designation,Other
291,No designation,Other
292,No designation,Other
293,No designation,Other
294,No designation,Other
295,No designation,Other
296,No designation,Other
297,No designation,Other
298,No designation,Other
299,No designation,Other
300,No designation,Other
301,No designation,Other
302,No designation,Other
303,No designation,Other
304,No designation,Other
305,No designation,Other
306,No designation,Other
307,No designation,Other
308,No designation,Other
309,No designation,Other
310,No designation,Other
311,No designation,Other
312,No designation,Other
313,No designation,Other
314,No designation,Other
315,No designation,Other
316,No designation,Other
317,No designation,Other
318,No designation,Other
319,No designation,Other
320,No designation,Other
321,No designation,Other
322,No designation,Other
323,No designation,Other
324,No designation,Other
325,No designation,Other
326,No designation,Other
327,No designation,Other
328,No designation,Other
329,No designation,Other
330,No designation,Other
331,No designation,Other
332,No designation,Other
333,No designation,Other
334,No designation,Other
335,No designation,Other
336,No designation,Other
337,No designation,Other
338,No designation,Other
339,No designation,Other
340,No designation,Other
341,No designation,Other
342,No designation,Other
343,No designation,Other
344,No designation,Other
345,No designation,Other
346,No designation,Other
347,No designation,Other
348,No designation,Other
349,No designation,Other
350,No designation,Other
351,No designation,Other
352,No designation,Other
353,No designation,Other
354,No designation,Other
355,No designation,Other
356,No designation,Other
357,No designation,Other
358,No designation,Other
359,No designation,Other
360,No designation,Other
361,No designation,Other
362,No designation,Other
363,No designation,Other
364,No designation,Other
365,No designation,Other
366,No designation,Other
367,No designation,Other
368,No designation,Other
369,No designation,Other
370,No designation,Other
371,No designation,Other
372,No designation,Other
373,No designation,Other
374,No designation,Other
375,No designation,Other
376,No designation,Other
377,No designation,Other
378,No designation,Other
379,No designation,Other
380,No designation,Other
381,No designation,Other
382,No designation,Other
383,No designation,Other
384,No designation,Other
385,No designation,Other
386,No designation,Other
387,No designation,Other
388,No designation,Other
389,No designation,Other
390,No designation,Other
391,No designation,Other
392,No designation,Other
393,No designation,Other
394,No designation,Other
395,No designation,Other
396,No designation,Other
397,No designation,Other
398,No designation,Other
399,No designation,Other
400,No designation,Other
401,No designation,Other
402,No designation,Other
403,No designation,Other
404,No designation,Other
405,No designation,Other
406,No designation,Other
407,No designation,Other
408,No designation,Other
409,No designation,Other
410,No designation,Other
411,No designation,Other
412,No designation,Other
413,No designation,Other
414,No designation,Other
415,No designation,Other
416,No designation,Other
417,No designation,Other
418,No designation,Other
419,No designation,Other
420,No designation,Other
421,No designation,Other
422,No designation,Other
423,No designation,Other
424,No designation,Other
425,No designation,Other
426,No designation,Other
427,No designation,Other
428,No designation,Other
429,No designation,Other
430,No designation,Other
431,No designation,Other
432,No designation,Other
433,No designation,Other
434,No designation,Other
435,No designation,Other
436,No designation,Other
437,No designation,Other
438,No designation,Other
439,No designation,Other
440,No designation,Other
441,No designation,Other
442,No designation,Other
443,No designation,Other
444,No designation,Other
445,No designation,Other
446,No designation,Other
447,No designation,Other
448,No designation,Other
449,No designation,Other
450,No designation,Other
451,No designation,Other
452,No designation,Other
453,No designation,Other
454,No designation,Other
455,No designation,Other
456,No designation,Other
457,No designation,Other
458,No designation,Other
459,No designation,Other
460,No designation,Other
461,No designation,Other
462,No designation,Other
463,No designation,Other
464,No designation,Other
465,No designation,Other
466,No designation,Other
467,No designation,Other
468,No designation,Other
469,No designation,Other
470,No designation,Other
471,No designation,Other
472,No designation,Other
473,No designation,Other
474,No designation,Other
475,No designation,Other
476,No designation,Other
477,No designation,Other
478,No designation,Other
479,No designation,Other
480,No designation,Other
481,No designation,Other
482,No designation,Other
483,No designation,Other
484,No designation,Other
485,No designation,Other
486,No designation,Other
487,No designation,Other
488,No designation,Other
489,No designation,Other
490,No designation,Other
491,No designation,Other
492,No designation,Other
493,No designation,Other
494,No designation,Other
495,No designation,Other
496,No designation,Other
497,No designation,Other
498,No designation,Other
499,No designation,Other
500,No designation,Other
501,No designation,Other
502,No designation,Other
503,No designation,Other
504,No designation,Other
505,No designation,Other
506,No designation,Other
507,No designation,Other
508,No designation,Other
509,No designation,Other
510,No designation,Other
511,No designation,Other
512,No designation,Other
513,No designation,Other
514,No designation,Other
515,No designation,Other
516,No designation,Other
517,No designation,Other
518,No designation,Other
519,No designation,Other
520,No designation,Other
521,No designation,Other
522,No designation,Other
523,No designation,Other
524,No designation,Other
525,No designation,Other
526,No designation,Other
527,No designation,Other
528,No designation,Other
529,No designation,Other
530,No designation,Other
531,No designation,Other
532,No designation,Other
533,No designation,Other
534,No designation,Other
535,No designation,Other
536,No designation,Other
537,No designation,Other
538,No designation,Other
539,No designation,Other
540,No designation,Other
541,No designation,Other
542,No designation,Other
543,No designation,Other
544,No designation,Other
545,No designation,Other
546,No designation,Other
547,No designation,Other
548,No designation,Other
549,No designation,Other
550,No designation,Other
551,No designation,Other
552,No designation,Other
553,No designation,Other
554,No designation,Other
555,No designation,Other
556,No designation,Other
557,No designation,Other
558,No designation,Other
559,No designation,Other
560,No designation,Other
561,No designation,Other
562,No designation,Other
563,No designation,Other
564,No designation,Other
565,No designation,Other
566,No designation,Other
567,No designation,Other
568,No designation,Other
569,No designation,Other
570,No designation,Other
571,No designation,Other
572,No designation,Other
573,No designation,Other
574,No designation,Other
575,No designation,Other
576,No designation,Other
577,No designation,Other
578,No designation,Other
579,No designation,Other
580,No designation,Other
581,No designation,Other
582,No designation,Other
583,No designation,Other
584,No designation,Other
585,No designation,Other
586,No designation,Other
587,No designation,Other
588,No designation,Other
589,No designation,Other
590,No designation,Other
591,No designation,Other
592,No designation,Other
593,No designation,Other
594,No designation,Other
595,No designation,Other
596,No designation,Other
597,No designation,Other
598,No designation,Other
599,No designation,Other
600,No designation,Other
601,No designation,Other
602,No designation,Other
603,No designation,Other
604,No designation,Other
605,No designation,Other
606,No designation,Other
607,No designation,Other
608,No designation,Other
609,No designation,Other
610,No designation,Other
611,No designation,Other
612,No designation,Other
613,No designation,Other
614,No designation,Other
615,No designation,Other
616,No designation,Other
617,No designation,Other
618,No designation,Other
619,No designation,Other
620,No designation,Other
621,No designation,Other
622,No designation,Other
623,No designation,Other
624,No designation,Other
625,No designation,Other
626,No designation,Other
627,No designation,Other
628,No designation,Other
629,No designation,Other
630,No designation,Other
631,No designation,Other
632,No designation,Other
633,No designation,Other
634,No designation,Other
635,No designation,Other
636,No designation,Other
637,No designation,Other
638,No designation,Other
639,No designation,Other
640,No designation,Other
641,No designation,Other
642,No designation,Other
643,No designation,Other
644,No designation,Other
645,No designation,Other
646,No designation,Other
647,No designation,Other
648,No designation,Other
649,No designation,Other
650,No designation,Other
651,No designation,Other
652,No designation,Other
653,No designation,Other
654,No designation,Other
655,No designation,Other
656,No designation,Other
657,No designation,Other
658,No designation,Other
659,No designation,Other
660,No designation,Other
661,No designation,Other
662,No designation,Other
663,No designation,Other
664,No designation,Other
665,No designation,Other
666,No designation,Other
667,No designation,Other
668,No designation,Other
669,No designation,Other
670,No designation,Other
671,No designation,Other
672,No designation,Other
673,No designation,Other
674,No designation,Other
675,No designation,Other
676,No designation,Other
677,No designation,Other
678,No designation,Other
679,No designation,Other
680,No designation,Other
681,No designation,Other
682,No designation,Other
683,No designation,Other
684,No designation,Other
685,No designation,Other
686,No designation,Other
687,No designation,Other
688,No designation,Other
689,No designation,Other
690,No designation,Other
691,No designation,Other
692,No designation,Other
693,No designation,Other
694,No designation,Other
695,No designation,Other
696,No designation,Other
697,No designation,Other
698,No designation,Other
699,No designation,Other
700,No designation,Other
701,No designation,Other
702,No designation,Other
703,No designation,Other
704,No designation,Other
705,No designation,Other
706,No designation,Other
707,No designation,Other
708,No designation,Other
709,No designation,Other
710,No designation,Other
711,No designation,Other
712,No designation,Other
713,No designation,Other
714,No designation,Other
715,No designation,Other
716,No designation,Other
717,No designation,Other
718,No designation,Other
719,No designation,Other
720,No designation,Other
721,No designation,Other
722,No designation,Other
723,No designation,Other
724,No designation,Other
725,No designation,Other
726,No designation,Other
727,No designation,Other
728,No designation,Other
729,No designation,Other
730,No designation,Other
731,No designation,Other
732,No designation,Other
733,No designation,Other
734,No designation,Other
735,No designation,Other
736,No designation,Other
737,No designation,Other
738,No designation,Other
739,No designation,Other
740,No designation,Other
741,No designation,Other
742,No designation,Other
743,No designation,Other
744,No designation,Other
745,No designation,Other
746,No designation,Other
747,No designation,Other
748,No designation,Other
749,No designation,Other
750,No designation,Other
751,No designation,Other
752,No designation,Other
753,No designation,Other
754,No designation,Other
755,No designation,Other
756,No designation,Other
757,No designation,Other
758,No designation,Other
759,No designation,Other
760,No designation,Other
761,No designation,Other
762,No designation,Other
763,No designation,Other
764,No designation,Other
765,No designation,Other
766,No designation,Other
767,No designation,Other
768,No designation,Other
769,No designation,Other
770,No designation,Other
771,No designation,Other
772,No designation,Other
773,No designation,Other
774,No designation,Other
775,No designation,Other
776,No designation,Other
777,No designation,Other
778,No designation,Other
779,No designation,Other
780,No designation,Other
781,No designation,Other
782,No designation,Other
783,No designation,Other
784,No designation,Other
785,No designation,Other
786,No designation,Other
787,No designation,Other
788,No designation,Other
789,No designation,Other
790,No designation,Other
791,No designation,Other
792,No designation,Other
793,No designation,Other
794,No designation,Other
795,No designation,Other
796,No designation,Other
797,No designation,Other
798,No designation,Other
799,No designation,Other
800,No designation,Other
801,No designation,Other
802,No designation,Other
803,No designation,Other
804,No designation,Other
805,No designation,Other
806,No designation,Other
807,No designation,Other
808,No designation,Other
809,No designation,Other
810,No designation,Other
811,No designation,Other
812,No designation,Other
813,No designation,Other
814,No designation,Other
815,No designation,Other
816,No designation,Other
817,No designation,Other
818,No designation,Other
819,No designation,Other
820,No designation,Other
821,No designation,Other
822,No designation,Other
823,No designation,Other
824,No designation,Other
825,No designation,Other
826,No designation,Other
827,No designation,Other
828,No designation,Other
829,No designation,Other
830,No designation,Other
831,No designation,Other
832,No designation,Other
833,No designation,Other
834,No designation,Other
835,No designation,Other
836,No designation,Other
837,No designation,Other
838,No designation,Other
839,No designation,Other
840,No designation,Other
841,No designation,Other
842,No designation,Other
843,No designation,Other
844,No designation,Other
845,No designation,Other
846,No designation,Other
847,No designation,Other
848,No designation,Other
849,No designation,Other
850,No designation,Other
851,No designation,Other
852,No designation,Other
853,No designation,Other
854,No designation,Other
855,No designation,Other
856,No designation,Other
857,No designation,Other
858,No designation,Other
859,No designation,Other
860,No designation,Other
861,No designation,Other
862,No designation,Other
863,No designation,Other
864,No designation,Other
865,No designation,Other
866,No designation,Other
867,No designation,Other
868,No designation,Other
869,No designation,Other
870,No designation,Other
871,No designation,Other
872,No designation,Other
873,No designation,Other
874,No designation,Other
875,No designation,Other
876,No designation,Other
877,No designation,Other
878,No designation,Other
879,No designation,Other
880,No designation,Other
881,No designation,Other
882,No designation,Other
883,No designation,Other
884,No designation,Other
885,No designation,Other
886,No designation,Other
887,No designation,Other
888,No designation,Other
889,No designation,Other
890,No designation,Other
891,No designation,Other
892,No designation,Other
893,No designation,Other
894,No designation,Other
895,No designation,Other
896,No designation,Other
897,No designation,Other
898,No designation,Other
899,No designation,Other
900,No designation,Other
901,No designation,Other
902,No designation,Other
903,No designation,Other
904,No designation,Other
905,No designation,Other
906,No designation,Other
907,No designation,Other
908,No designation,Other
909,No designation,Other
910,No designation,Other
911,No designation,Other
912,No designation,Other
913,No designation,Other
914,No designation,Other
915,No designation,Other
916,No designation,Other
917,No designation,Other
918,No designation,Other
919,No designation,Other
920,No designation,Other
921,No designation,Other
922,No designation,Other
923,No designation,Other
924,No designation,Other
925,No designation,Other
926,No designation,Other
927,No designation,Other
928,No designation,Other
929,No designation,Other
930,No designation,Other
931,No designation,Other
932,No designation,Other
933,No designation,Other
934,No designation,Other
935,No designation,Other
936,No designation,Other
937,No designation,Other
938,No designation,Other
939,No designation,Other
940,No designation,Other
941,No designation,Other
942,No designation,Other
943,No designation,Other
944,No designation,Other
945,No designation,Other
946,No designation,Other
947,No designation,Other
948,No designation,Other
949,No designation,Other
950,No designation,Other
951,No designation,Other
952,No designation,Other
953,No designation,Other
954,No designation,Other
955,No designation,Other
956,No designation,Other
957,No designation,Other
958,No designation,Other
959,No designation,Other
960,No designation,Other
961,No designation,Other
962,No designation,Other
963,No designation,Other
964,No designation,Other
965,No designation,Other
966,No designation,Other
967,No designation,Other
968,No designation,Other
969,No designation,Other
970,No designation,Other
971,No designation,Other
972,No designation,Other
973,No designation,Other
974,No designation,Other
975,No designation,Other
976,No designation,Other
977,No designation,Other
978,No designation,Other
979,No designation,Other
980,No designation,Other
981,No designation,Other
982,No designation,Other
983,No designation,Other
984,No designation,Other
985,No designation,Other
986,No designation,Other
987,No designation,Other
988,No designation,Other
989,No designation,Other
990,No designation,Other
991,No designation,Other
992,No designation,Other
993,No designation,Other
994,No designation,Other
995,No designation,Other
996,No designation,Other
997,No designation,Other
998,No designation,Other
999,No designation,Other
1001,Commercial Fishing Vessel,Fishing
1002,Fish Processing Vessel,Fishing
1003,Freight Barge,Cargo
1004,Freight Ship,Cargo
1005,Industrial Vessel,Other
1006,Miscellaneous Vessel,Other
1007,Mobile Offshore Drilling Unit,Other
1008,Non-vessel,Other
1009,NON-VESSEL,Other
1010,Offshore Supply Vessel,Other
1011,Oil Recovery,Other
1012,Passenger (Inspected),Passenger
1013,Passenger (Uninspected),Passenger
1014,Passenger Barge (Inspected),Passenger
1015,Passenger Barge (Uninspected),Passenger
1016,Public Freight,Cargo
1017,Public Tankship/Barge,Tanker
1018,"Public Vessel, Unclassified",Other
1019,Recreational,Recreational
1020,Research Vessel,Other
1021,SAR Aircraft,SAR
1022,School Ship,Other
1023,Tank Barge,Tanker
1024,Tank Ship,Tanker
1025,Towing Vessel,Tug/Tow
