,mmsi,Time,X,Y
0,1,1970-01-01 00:00:00.000000000,-73.6911528287202,40.561262333962944
1,1,1970-01-01 00:00:00.100000000,-73.74058883859824,40.56065201285334
2,1,1970-01-01 00:00:00.200000000,-73.81443769286048,40.53684948957873
3,1,1970-01-01 00:00:00.300000000,-73.92795741924708,40.52464306738662
4,1,1970-01-01 00:00:00.400000000,-73.99204113575564,40.527084351825046
5,1,1970-01-01 00:00:00.500000000,-74.02805008122235,40.56187265507255
6,1,1970-01-01 00:00:00.600000000,-74.03720489786643,40.607036417183345
7,1,1970-01-01 00:00:00.700000000,-74.05185260449696,40.633280224896374
8,1,1970-01-01 00:00:00.800000000,-74.04574939340091,40.66684788592467
9,1,1970-01-01 00:00:00.900000000,-74.0323223289896,40.6937020147473
10,1,1970-01-01 00:00:01.000000000,-74.02377783345511,40.72116646467954
11,1,1970-01-01 00:00:00.000000000,-74.31780002800748,39.37174649134221
12,1,1970-01-01 00:00:00.062500000,-74.26653305480065,39.427896033425895
13,1,1970-01-01 00:00:00.125000000,-74.23357571488195,39.46939786887906
14,1,1970-01-01 00:00:00.187500000,-74.20916287049774,39.492590071044056
15,1,1970-01-01 00:00:00.250000000,-74.16888167726378,39.524326768743535
16,1,1970-01-01 00:00:00.312500000,-74.1359243373451,39.554842824223805
17,1,1970-01-01 00:00:00.375000000,-74.10052571298799,39.600006586334594
18,1,1970-01-01 00:00:00.437500000,-74.08221607969983,39.63784649513013
19,1,1970-01-01 00:00:00.500000000,-74.07367158416535,39.65859741285671
20,1,1970-01-01 00:00:00.562500000,-74.0663477308501,39.68911346833698
21,1,1970-01-01 00:00:00.625000000,-74.05658259309641,39.72817401935171
22,1,1970-01-01 00:00:00.687500000,-74.0443761709043,39.77455842368172
23,1,1970-01-01 00:00:00.750000000,-74.03583167536982,39.80141255250435
24,1,1970-01-01 00:00:00.812500000,-74.02972846427377,39.83559053464225
25,1,1970-01-01 00:00:00.875000000,-74.02728717983535,39.85390016793041
26,1,1970-01-01 00:00:00.937500000,-74.0211839687393,39.87831301231463
27,1,1970-01-01 00:00:01.000000000,-74.01874268430088,39.890519434506736
28,1,1970-01-01 00:00:00.000000000,-74.23220306190167,40.458803050352316
29,1,1970-01-01 00:00:00.027777777,-74.23103617743136,40.46405403046869
30,1,1970-01-01 00:00:00.055555555,-74.23045273519622,40.46988845282021
31,1,1970-01-01 00:00:00.083333333,-74.22986929296107,40.474555990701425
32,1,1970-01-01 00:00:00.111111111,-74.22928585072592,40.48330762422871
33,1,1970-01-01 00:00:00.138888888,-74.22928585072592,40.489142046580234
34,1,1970-01-01 00:00:00.166666666,-74.22870240849076,40.49147581552084
35,1,1970-01-01 00:00:00.194444444,-74.22870240849076,40.4932261422263
36,1,1970-01-01 00:00:00.222222222,-74.225785197315,40.49906056457782
37,1,1970-01-01 00:00:00.250000000,-74.22520175507985,40.49089237328569
38,1,1970-01-01 00:00:00.277777777,-74.22520175507985,40.48214073975841
39,1,1970-01-01 00:00:00.305555555,-74.22520175507985,40.47163877952566
40,1,1970-01-01 00:00:00.333333333,-74.22811896625561,40.46288714599838
41,1,1970-01-01 00:00:00.361111111,-74.23103617743136,40.45705272364686
42,1,1970-01-01 00:00:00.388888888,-74.23161961966652,40.45588583917655
43,1,1970-01-01 00:00:00.416666666,-74.23161961966652,40.46522091493899
44,1,1970-01-01 00:00:00.444444444,-74.23161961966652,40.474555990701425
45,1,1970-01-01 00:00:00.472222222,-74.23161961966652,40.479223528582644
46,1,1970-01-01 00:00:00.500000000,-74.23103617743136,40.48855860434508
47,1,1970-01-01 00:00:00.527777777,-74.23045273519622,40.49614335340206
48,1,1970-01-01 00:00:00.555555555,-74.22870240849076,40.49906056457782
49,1,1970-01-01 00:00:00.583333333,-74.22811896625561,40.487975162109926
50,1,1970-01-01 00:00:00.611111111,-74.225785197315,40.476889759642035
51,1,1970-01-01 00:00:00.638888888,-74.225785197315,40.4675546838796
52,1,1970-01-01 00:00:00.666666666,-74.225785197315,40.458803050352316
53,1,1970-01-01 00:00:00.694444444,-74.225785197315,40.45705272364686
54,1,1970-01-01 00:00:00.722222222,-74.22986929296107,40.45588583917655
55,1,1970-01-01 00:00:00.750000000,-74.23045273519622,40.464637472703835
56,1,1970-01-01 00:00:00.777777777,-74.23045273519622,40.47397254846627
57,1,1970-01-01 00:00:00.805555555,-74.22928585072592,40.480390413052945
58,1,1970-01-01 00:00:00.833333333,-74.22870240849076,40.48505795093416
59,1,1970-01-01 00:00:00.861111111,-74.2269520817853,40.49205925775599
60,1,1970-01-01 00:00:00.888888888,-74.225785197315,40.497893680107516
61,1,1970-01-01 00:00:00.916666666,-74.2246183128447,40.48564139316932
62,1,1970-01-01 00:00:00.944444444,-74.22520175507985,40.473389106231124
63,1,1970-01-01 00:00:00.972222222,-74.2269520817853,40.461136819292925
64,1,1970-01-01 00:00:01.000000000,-74.22753552402045,40.45705272364686
